day,theme,audience,hook,cta,format
1,Извинение без самоунижения,взрослые 20–45,"Извинение — это признание конкретного поступка, а не отказ от собственного достоинства.",Попробуйте режим «Извиниться»,post
2,Как ответить на грубость,все,Грубость не обязывает отвечать грубостью.,Сделайте ответ спокойнее и твёрже,carousel
3,Поддержка после неудачи,друзья и коллеги,Фраза «не переживай» часто обесценивает.,Сформулируйте поддержку без клише,post
4,Сообщение старшему человеку,узбекоязычная аудитория,"Уважение выражается не канцеляритом, а точным тоном.",Проверьте форму обращения,reel_script
5,Благодарность коллеге,офисные сотрудники,«Спасибо за всё» забывается; конкретная благодарность — нет.,Создайте короткую благодарность,post
6,Примирение после паузы,пары и друзья,Начать разговор можно без разбора виноватых.,Подберите первое сообщение,carousel
7,Мягкий отказ,все,Отказ может быть ясным и уважительным одновременно.,Сделайте отказ без оправданий,post
8,Поздравление учителю,родители и ученики,"Хорошее поздравление говорит о влиянии человека, а не о шаблонных пожеланиях.",Создайте личное поздравление,post
9,Соболезнование без лишних слов,все,"В трудный момент лучше присутствие, чем красивые формулы.",Сформулируйте бережное сообщение,post
10,Проверка пассивной агрессии,все,Иногда «как хочешь» означает совсем другое.,"Проверьте, как звучит ваш текст",carousel
11,Сообщение клиенту о задержке,малый бизнес,"Плохая новость становится хуже, когда в ней нет срока и ответственности.",Сформулируйте прозрачное сообщение,post
12,Тёплое сообщение родителям,взрослые дети,"Не обязательно ждать праздника, чтобы сказать важное.",Напишите коротко и естественно,post
13,Граница в отношениях,пары и друзья,Граница — не угроза и не наказание.,Сделайте сообщение твёрдым без давления,carousel
14,Поздравление без пафоса,все,Личное наблюдение сильнее десяти пожеланий.,Добавьте одну точную деталь,post
15,Как начать сложный разговор,все,"Первое предложение определяет, будет ли человек защищаться.",Создайте спокойное начало,reel_script
16,Ответ после долгого молчания,все,Не нужно придумывать идеальное оправдание.,Скажите честно и коротко,post
17,Поддержка перед экзаменом,ученики и родители,Поддержка — это не дополнительное давление на результат.,Подберите правильные слова,post
18,Обратная связь сотруднику,руководители,Критика без наблюдаемого факта превращается в ярлык.,Сформулируйте конструктивно,carousel
19,Признание ошибки руководителем,менеджеры,Ответственность укрепляет авторитет сильнее оправданий.,Подготовьте ясное сообщение,post
20,Романтическое сообщение,пары,Искренность не требует сложных метафор.,Сделайте текст похожим на себя,post
21,Перевод RU–UZ без кальки,двуязычная аудитория,Дословный перевод часто меняет степень уважения и близости.,Переведите с сохранением тона,carousel
22,Просьба о помощи,все,Хорошая просьба конкретна и оставляет человеку право отказаться.,Сформулируйте просьбу,post
23,Ответ на критику,все,Защищаться от всего сразу — почти всегда проигрышная стратегия.,Ответьте по существу,reel_script
24,Сообщение после конфликта в семье,семьи,"Можно признать эмоции, не соглашаясь со всеми обвинениями.",Создайте нейтральный первый шаг,post
25,Приглашение на событие,все,"Приглашение должно отвечать на три вопроса: что, когда и почему вы важны.",Создайте личное приглашение,post
26,Напоминание без раздражения,все,Напоминание не обязано звучать как претензия.,Сделайте его нейтральным,carousel
27,Отмена встречи,все,"Уважение — это раннее предупреждение и новый вариант, а не длинные оправдания.",Сформулируйте сообщение,post
28,Благодарность наставнику,специалисты и студенты,"Назовите конкретное изменение, которое человек помог сделать.",Напишите точную благодарность,post
29,Завершение отношений,взрослые,Ясность гуманнее неопределённых обещаний.,Сформулируйте честно и без жестокости,carousel
30,Еженедельная проверка тона,активные пользователи,Перед отправкой прочитайте сообщение глазами получателя.,Проверьте свой текст в Metaphor,post
